RUN	info.ragozin.loadlab.wp.simulations.RandomPostCommentClose	randompostcommentclose	1558943390150	 	3.1.2
REQUEST	17		/wp/v2/posts?{page} (GET)	1558943409619	1558943409753	OK	 
REQUEST	17		/wp/v2/posts?page/{id} (GET)	1558943409755	1558943409823	OK	 
REQUEST	17		/wp-json/wp/v2/comments (POST)	1558943409824	1558943409927	OK	 
USER	RandomPostCommentClose	17	END	1558943409617	1558943409928
USER	RandomPostCommentClose	18	START	1558943409929	1558943409929
REQUEST	18		/wp/v2/posts?{page} (GET)	1558943409930	1558943410057	OK	 
REQUEST	18		/wp/v2/posts?page/{id} (GET)	1558943410059	1558943410135	OK	 
REQUEST	18		/wp-json/wp/v2/comments (POST)	1558943410136	1558943410212	OK	 
USER	RandomPostCommentClose	18	END	1558943409929	1558943410213
USER	RandomPostCommentClose	19	START	1558943410214	1558943410214
REQUEST	19		/wp/v2/posts?{page} (GET)	1558943410215	1558943410365	OK	 
REQUEST	19		/wp/v2/posts?page/{id} (GET)	1558943410368	1558943410431	OK	 
REQUEST	19		/wp-json/wp/v2/comments (POST)	1558943410432	1558943410521	OK	 
USER	RandomPostCommentClose	19	END	1558943410214	1558943410522
USER	RandomPostCommentClose	20	START	1558943410522	1558943410522
REQUEST	20		/wp/v2/posts?{page} (GET)	1558943410524	1558943410653	OK	 
REQUEST	20		/wp/v2/posts?page/{id} (GET)	1558943410655	1558943410724	OK	 
REQUEST	20		/wp-json/wp/v2/comments (POST)	1558943410725	1558943410815	OK	 
USER	RandomPostCommentClose	20	END	1558943410522	1558943410816
USER	RandomPostCommentClose	21	START	1558943410816	1558943410816
REQUEST	21		/wp/v2/posts?{page} (GET)	1558943410817	1558943410983	OK	 
REQUEST	21		/wp/v2/posts?page/{id} (GET)	1558943410985	1558943411031	OK	 
REQUEST	21		/wp-json/wp/v2/comments (POST)	1558943411032	1558943411170	OK	 
USER	RandomPostCommentClose	21	END	1558943410816	1558943411172
USER	RandomPostCommentClose	22	START	1558943411173	1558943411173
REQUEST	22		/wp/v2/posts?{page} (GET)	1558943411176	1558943411407	OK	 
REQUEST	22		/wp/v2/posts?page/{id} (GET)	1558943411412	1558943411455	OK	 
REQUEST	22		/wp-json/wp/v2/comments (POST)	1558943411456	1558943411543	OK	 
USER	RandomPostCommentClose	22	END	1558943411173	1558943411544
USER	RandomPostCommentClose	23	START	1558943411544	1558943411544
REQUEST	23		/wp/v2/posts?{page} (GET)	1558943411546	1558943411702	OK	 
